time,id,x,y,vx,vy,ax,ay,fx,fy
4.0000,C,49.398822,4.171571,14.476729,-31.345843,1.093414,-10.083315,12.027557,-110.916467
4.1000,A,90.389494,0.000000,22.502054,0.000000,0.594357,-9.959922,11.887146,-199.198449
4.1000,B,75.892841,0.000000,20.068170,0.000000,1.205586,-10.109701,12.055857,-101.097006
4.1000,C,50.857430,0.936157,14.586075,-32.354149,1.093454,-10.083063,12.027998,-110.913691
4.2000,A,92.645645,0.000000,22.561508,0.000000,0.594538,-9.959983,11.890766,-199.199667
4.2000,B,77.911712,0.000000,20.188708,0.000000,1.205375,-10.109935,12.053748,-101.099345
4.2000,C,52.326972,0.000000,14.695417,0.000000,1.093417,-10.082800,12.027591,-110.910801
4.3000,A,94.907743,0.000000,22.620979,0.000000,0.594717,-9.960000,11.894338,-199.200000
4.3000,B,79.942635,0.000000,20.309232,0.000000,1.205243,-10.110000,12.052432,-101.100000
4.3000,C,53.807447,0.000000,14.804749,0.000000,1.093323,-10.082727,12.026558,-110.910000
4.4000,A,97.175790,0.000000,22.680468,0.000000,0.594884,-9.960000,11.897673,-199.200000
4.4000,B,81.985610,0.000000,20.429744,0.000000,1.205124,-10.110000,12.051240,-101.100000
4.4000,C,55.298854,0.000000,14.914072,0.000000,1.093232,-10.082727,12.025551,-110.910000
4.5000,A,99.449787,0.000000,22.739972,0.000000,0.595039,-9.960000,11.900778,-199.200000
4.5000,B,84.040634,0.000000,20.550246,0.000000,1.205013,-10.110000,12.050129,-101.100000
4.5000,C,56.801192,0.000000,15.023387,0.000000,1.093146,-10.082727,12.024602,-110.910000
4.6000,A,101.729736,0.000000,22.799490,0.000000,0.595184,-9.960000,11.903674,-199.200000
4.6000,B,86.107708,0.000000,20.670737,0.000000,1.204909,-10.110000,12.049092,-101.100000
4.6000,C,58.314462,0.000000,15.132693,0.000000,1.093064,-10.082727,12.023706,-110.910000
4.7000,A,104.015638,0.000000,22.859022,0.000000,0.595319,-9.960000,11.906377,-199.200000
4.7000,B,88.186830,0.000000,20.791218,0.000000,1.204812,-10.110000,12.048125,-101.100000
4.7000,C,59.838661,0.000000,15.241992,0.000000,1.092987,-10.082727,12.022860,-110.910000
4.8000,A,106.307494,0.000000,22.918566,0.000000,0.595445,-9.960000,11.908903,-199.200000
4.8000,B,90.277999,0.000000,20.911690,0.000000,1.204722,-10.110000,12.047221,-101.100000
4.8000,C,61.373789,0.000000,15.351283,0.000000,1.092915,-10.082727,12.022060,-110.910000
4.9000,A,108.605307,0.000000,22.978123,0.000000,0.595563,-9.960000,11.911266,-199.200000
4.9000,B,92.381214,0.000000,21.032154,0.000000,1.204638,-10.110000,12.046377,-101.100000
4.9000,C,62.919846,0.000000,15.460568,0.000000,1.092846,-10.082727,12.021303,-110.910000
5.0000,A,110.909076,0.000000,23.037690,0.000000,0.595674,-9.960000,11.913478,-199.200000
5.0000,B,94.496475,0.000000,21.152610,0.000000,1.204559,-10.110000,12.045588,-101.100000
5.0000,C,64.476831,0.000000,15.569846,0.000000,1.092780,-10.082727,12.020585,-110.910000
